NQUEST,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA11,YTA12,YTA2,YTA31,YCA1,YCA2,YTA32,YTA4,YTA5,YL,YTP,YTA3,YTA,YT,YM,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
27116,1,0,0,8400,0,0,0,0,0,0,0,6800,0,0,0,0,8400,0,0,8400,0,6800,7.7471756805,0,0,0,7.7471756805,6807.7471757,15207.747176
27238,1,0,0,13650,0,0,0,0,0,0,0,4800,0,0,0,0,13650,0,0,13650,0,4800,30.988702722,0,0,0,30.988702722,4830.9887027,18480.988703
27238,2,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,12000
27238,3,5000,0,0,0,5000,5000,0,0,0,0,0,0,0,0,5000,0,0,5000,5000,0,0,0,0,0,0,0,0,10000
27730,1,0,0,19110,0,0,0,0,0,0,0,6000,0,0,0,0,19110,0,0,19110,0,6000,2.6340397314,0,0,0,2.6340397314,6002.6340397,25112.63404
27730,3,16611.02,0,0,0,3388.98,3388.98,0,0,0,0,0,0,0,0,16611.02,0,0,3388.98,3388.98,0,0,0,0,0,0,0,0,20000
27734,1,0,0,15067,0,0,0,0,0,0,0,4800,0,0,0,0,15067,0,0,15067,0,4800,0,0,0,0,0,4800,19867
27739,1,0,0,4680,0,0,0,0,0,0,9690,3850,0,0,0,0,4680,0,0,4680,0,13540,15.494351361,0,0,0,15.494351361,13555.494351,18235.494351
27742,1,0,0,8320,0,0,0,0,0,0,0,3600,0,0,0,0,8320,0,0,8320,0,3600,0.1549435136,0,0,0,0.1549435136,3600.1549435,11920.154944
27912,1,0,0,22100,0,0,0,0,0,0,0,6000,0,0,0,0,22100,0,0,22100,0,6000,80.570627077,0,0,0,80.570627077,6080.5706271,28180.570627
27912,2,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,13000
27923,1,0,0,24700,0,0,0,0,0,0,0,6000,0,0,0,0,24700,0,0,24700,0,6000,75.922321669,23.308664078,75.40745225,0,174.638438,6174.638438,30874.638438
27923,3,0,0,5200,0,500,0,500,0,0,0,0,0,0,0,0,5200,0,500,5700,0,0,0,0,0,0,0,0,5700
27923,4,0,0,5460,0,0,0,0,0,0,0,0,0,0,0,0,5460,0,0,5460,0,0,0,0,0,0,0,0,5460
28992,1,0,0,1350,0,0,0,0,0,0,0,7200,0,0,0,0,1350,0,0,1350,0,7200,34.087572994,0,0,0,34.087572994,7234.087573,8584.087573
29140,1,0,0,14950,0,0,0,0,0,0,0,8400,0,0,0,0,14950,0,0,14950,0,8400,21.692091905,0,0,0,21.692091905,8421.6920919,23371.692092
29140,2,0,0,13650,0,0,0,0,0,0,0,0,0,0,0,0,13650,0,0,13650,0,0,0,0,0,0,0,0,13650
29678,1,0,0,15600,0,0,0,0,0,0,0,5400,0,0,0,0,15600,0,0,15600,0,5400,92.966108166,0,0,0,92.966108166,5492.9661082,21092.966108
29680,1,14000,0,0,0,0,0,0,0,0,0,7200,0,0,0,14000,0,0,0,0,0,7200,32.098396591,0,0,0,32.098396591,7232.0983966,21232.098397
29680,3,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,5000
29737,1,0,0,33800,0,0,0,0,0,0,0,6600,0,0,0,0,33800,0,0,33800,0,6600,2107.234884,0,0,0,2107.234884,8707.234884,42507.234884
29737,2,0,0,24700,0,0,0,0,0,0,0,0,0,0,0,0,24700,0,0,24700,0,0,0,0,0,0,0,0,24700
