NQUEST,Y,CN,CD1,CD2,CD,C,S
38885,33864.503912,20800,0,0,0,20800,13064.503912
38939,37239.70056,21800,0,0,0,21800,15439.70056
38940,38719.722289,21482.250532,0,5000,5000,26482.250532,12237.471757
39056,48611.240929,27500,0,5000,5000,32500,16111.240929
39086,41658.204523,20450,0,0,0,20450,21208.204523
39095,23507.702938,19400,0,0,0,19400,4107.7029377
39218,32743.481958,24300,0,0,0,24300,8443.4819577
39227,26543.286827,34700,0,0,0,34700,-8156.713173
39317,66394.538154,24450,12000,1000,13000,37450,28944.538154
39318,63584.230181,22441.946498,28000,1400,29400,51841.946498,11742.283683
39488,24021.692092,19800,0,0,0,19800,4221.6920919
39697,50743.510977,21800,0,1000,1000,22800,27943.510977
50231,32340,22800,0,1500,1500,24300,8040
51363,10021.532874,7315,0,0,0,7315,2706.5328742
51544,25711.805806,14100,0,0,0,14100,11611.805806
51895,33273.944916,43600,0,0,0,43600,-10326.05508
52700,16780.142657,15800,0,0,0,15800,980.14265677
52718,12501.825077,10800,0,0,0,10800,1701.8250766
52736,11600,11600,0,0,0,11600,0
53086,37549.943514,24015,0,1500,1500,25515,12034.943514
53202,26076.743507,15000,0,0,0,15000,11076.743507
53234,66054.943514,22650,10500,0,10500,33150,32904.943514
53373,48054.648305,19600,0,0,0,19600,28454.648305
53380,21501.549435,15200,0,0,0,15200,6301.5494351
53552,13083.377123,7776,0,0,0,7776,5307.3771232
53564,31025.381379,29000,0,0,0,29000,2025.3813786
53997,83393.186443,28200,0,0,0,28200,55193.186443
55147,27773.944916,19200,0,0,0,19200,8573.9449162
55425,8123.5050738,6410,0,330,330,6740,1383.5050738
55636,69487.186443,43560,0,2000,2000,45560,23927.186443
55774,24312.044755,24300,0,0,0,24300,12.044755323
56251,26615.494351,14000,0,0,0,14000,12615.494351
56563,20548.922708,12900,0,0,0,12900,7648.9227078
56582,40527.730632,18300,0,0,0,18300,22227.730632
56603,25601.128986,30600,0,0,0,30600,-4998.871014
56658,30249.222799,16400,0,0,0,16400,13849.222799
56677,58296.982983,31420,-4000,0,-4000,27420,30876.982983
56721,23526.735281,18160,0,0,0,18160,5366.7352807
56761,80060.103951,31800,0,0,0,31800,48260.103951
56762,33563.403973,22200,0,0,0,22200,11363.403973
57042,9600.6197741,5220,0,0,0,5220,4380.6197741
57138,23703.718644,26400,0,0,0,26400,-2696.281356
57621,50627.390952,27780,0,300,300,28080,22547.390952
57670,52699.871735,27700,0,750,750,28450,24249.871735
57779,45015.494351,27100,0,0,0,27100,17915.494351
57962,77245.222604,41300,0,2000,2000,43300,33945.222604
60078,20801.549435,15500,0,0,0,15500,5301.5494351
91071,44079.052186,26300,0,0,0,26300,17779.052186
91079,42433.181061,25015,0,0,0,25015,17418.181061
91081,53904.994105,17400,0,0,0,17400,36504.994105
91095,46012.571639,47350,0,0,0,47350,-1337.428361
