NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,b22,b23a,b23b,b24,b25a,b25b,b25c,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT2,PESOFIT
957307,2,2,2,2,1,1971,1,,,1,7,1,107,110,0,1997,3,,2,,,,1,5,,,1,,32,2,,,1,18,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,2310,15,,2,2,,49,19,3,19,,,3,3,1,3,0,1,1,1,2,3,5,3,5,713.99798934,0.1759249885
957313,2,1,1,1,1,1954,1,,,1,5,,40,60,,1973,2,2,1,,,,2,15,4,8,2,1,20,2,,,1,43,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,66,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,3,5,622.82131897,0.1534595826
957313,2,2,2,2,1,1957,1,,,1,5,,45,60,,1975,5,2,2,,,,2,13,,,1,,20,2,,,2,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,63,19,3,19,,,4,7,3,5,0,0,0,0,1,3,5,3,5,622.82131897,0.1534595826
957315,2,1,1,1,1,1956,1,,,1,5,,56,60,,1974,2,2,1,,,,1,5,,,1,,18,1,2,,1,42,0,2,,2,,,,,,65,85,2,,1,2,2,2,2,2,2,,1211,11,,2,2,,64,19,3,19,,,4,3,1,4,1,1,1,1,1,3,5,3,5,446.84153592,0.1100991785
957315,2,2,2,2,1,1959,1,,,1,5,,46,60,,1977,2,2,2,,,,2,13,,,1,,19,1,32,,2,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,61,19,3,19,,,4,7,3,5,0,0,0,1,1,3,5,3,5,446.84153592,0.1100991785
957333,3,1,1,1,1,1961,1,,,1,5,,38,60,,1980,3,2,1,,,,1,8,,,1,,27,2,,,1,30,0,1,100,2,,,2,,,67,50,,,2,1,2,2,2,2,2,,1221,3,,2,2,,59,19,3,19,,,4,5,2,2,1,1,1,1,1,3,5,3,5,1712.2231282,0.4218819082
957333,3,2,2,2,1,1961,1,,,1,5,,50,60,,1981,5,2,2,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,59,19,3,19,,,4,7,3,5,0,0,0,1,1,3,5,3,5,1712.2231282,0.4218819082
957333,3,3,1,6,1,1991,1,,,2,7,7,104,110,0,2018,3,,2,,,,2,11,,,0,,,,,,,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,29,19,3,19,,,1,7,3,5,0,0,0,1,1,3,5,3,5,1712.2231282,0.4218819082
957344,5,1,1,1,1,1969,1,,,1,5,,46,60,,1988,3,2,1,,,,1,6,,,1,,19,2,,,1,20,0,1,100,2,,,2,,,67,80,,,2,1,2,2,2,2,2,,3321,11,,2,2,,51,19,3,19,,,3,4,2,4,1,1,1,2,2,3,5,3,5,1926.7751572,0.4747462913
957344,5,2,2,2,1,1977,1,,,1,7,8,110,110,0,2000,3,,2,,,,1,6,,,1,,25,2,,,1,20,0,1,,2,,,2,,,,,,,2,1,2,2,2,2,2,,2611,15,,2,2,,43,18,3,19,,,2,4,2,3,0,1,1,2,2,3,5,3,5,1926.7751572,0.4747462913
957344,5,3,2,6,1,2005,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,15,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,3,5,1926.7751572,0.4747462913
957344,5,4,1,6,1,2007,1,,,2,3,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,13,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,3,5,1926.7751572,0.4747462913
957344,5,5,2,6,1,2017,1,,,2,1,,,,,,,,,,,,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,3,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,3,5,1926.7751572,0.4747462913
957386,3,1,1,1,1,1986,1,,,1,5,,68,100,,2004,3,2,1,,,,1,2,,,1,,20,2,,,1,15,0,1,30,2,,,2,,,65,50,2,,1,2,2,2,2,2,2,,3114,19,,2,2,,34,19,3,19,,,1,2,1,4,1,1,1,1,1,3,5,3,5,3136.2680676,0.7727583719
957386,3,2,2,2,1,1991,1,,,1,5,,80,100,,2010,3,2,2,,,,2,12,2,7,1,,18,,,3,2,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,29,19,3,19,,,1,7,3,5,0,0,0,1,1,3,5,3,5,3136.2680676,0.7727583719
957386,3,3,1,6,1,2020,1,,,2,1,,,,,,,,,,,,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,0,19,3,19,,,1,7,3,5,0,0,0,1,1,3,5,3,5,3136.2680676,0.7727583719
957397,1,1,2,1,1,1957,1,,,3,7,6,110,110,0,1981,3,,1,,,,2,15,4,15,1,,27,2,,,1,37,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,63,19,3,19,,,4,6,3,5,1,1,0,0,1,3,5,2,5,879.49808037,0.2167032569
957492,4,1,1,1,1,1973,1,,,1,5,,42,60,,1992,2,1,1,,,,1,2,,,3,1,20,2,,,1,27,1,1,100,2,,,2,,,67,80,1,100,1,2,2,2,2,2,2,,7412,3,27,2,2,,47,19,3,19,,,3,2,1,2,1,1,1,1,1,3,5,2,5,1042.0554362,0.2567564522
957492,4,2,2,2,1,1972,1,,,1,5,,40,60,,1990,1,2,1,,,,2,13,,,2,1,47,1,1,,2,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,48,19,3,19,,,3,7,3,5,0,0,0,1,1,3,5,2,5,1042.0554362,0.2567564522
957492,4,3,1,7,1,2005,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,15,19,3,19,,,1,7,3,5,0,0,0,1,1,3,5,2,5,1042.0554362,0.2567564522
957492,4,4,2,7,1,2006,1,,,2,3,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,14,19,3,19,,,1,7,3,5,0,0,0,1,1,3,5,2,5,1042.0554362,0.2567564522
957498,1,1,2,1,1,1983,1,,,2,7,9,110,110,1,2015,3,,1,,,,2,11,,,0,,,,,,,,,2,,1,20,15,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,37,19,3,19,,,2,7,3,5,1,1,0,0,1,3,5,2,5,3746.0816212,0.923012916
957502,2,1,1,1,1,1944,1,,,1,5,,57,60,,1965,3,1,1,,,,2,15,4,11,2,1,18,2,,,1,37,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,19,3,19,,,5,6,3,5,1,1,0,0,2,3,5,1,3,676.51250924,0.1666887823
957502,2,2,2,2,1,1947,1,,,1,7,9,96,110,0,1972,5,,1,,,,2,15,3,16,1,,27,2,,,1,35,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,73,19,3,19,,,5,6,3,5,0,1,0,0,2,3,5,1,3,676.51250924,0.1666887823
957506,3,1,2,1,1,1975,1,,,1,7,10,110,110,0,2001,2,,1,,,,1,2,,,1,,23,1,1,,1,0,0,1,100,1,99,14,1,0,0,66,50,1,50,1,2,2,2,2,2,2,,3343,22,,2,2,,45,19,3,19,,,3,2,1,4,0,1,1,2,2,3,5,1,3,2226.771056,0.5486635513
957506,3,2,1,2,1,1970,1,,,1,5,,48,60,,1989,6,2,2,,,,1,2,,,4,3,18,2,,,1,20,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,4110,22,50,2,2,,50,1,1,19,,,3,2,1,4,1,1,1,2,2,3,5,1,3,2226.771056,0.5486635513
957506,3,3,2,6,1,2012,1,,,2,1,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,8,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,1,3,2226.771056,0.5486635513
957508,2,1,1,1,1,1944,1,,,1,5,,8,10,,1968,2,2,1,,,,2,15,4,22,1,,23,1,1,,1,35,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,2,3,779.46323805,0.1920552484
957508,2,2,2,2,1,1945,1,,,1,2,,,,,,,,2,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,75,19,3,19,,,5,7,3,5,0,0,0,0,1,3,5,2,3,779.46323805,0.1920552484
957509,4,1,1,1,1,1963,1,,,1,5,,39,60,,1982,3,1,1,,,,1,4,,,1,,16,1,2,,1,36,2,1,100,2,,,2,,,64,97,2,,1,2,2,2,1,2,2,,1221,19,,2,2,,57,19,3,19,,,4,3,1,4,1,1,1,3,3,3,5,2,3,1091.2339554,0.2688737559
957509,4,2,2,2,1,1964,1,,,1,5,,39,60,,1983,4,2,2,,,,1,2,,,1,,40,2,,,1,17,0,1,,2,,,2,,,,,2,,1,2,2,2,1,2,2,,5230,7,,2,2,,56,19,3,19,,,4,2,1,4,0,1,1,3,3,3,5,2,3,1091.2339554,0.2688737559
957509,4,3,2,6,1,1991,1,,,1,7,9,105,110,0,2017,3,,2,,,,1,3,,,1,,25,1,2,,1,4,0,2,,1,,,,,,,,2,,1,2,2,2,2,2,2,,2320,16,,2,2,,29,19,3,19,,,1,2,1,3,0,1,1,3,3,3,5,2,3,1091.2339554,0.2688737559
957509,4,4,2,6,1,1996,1,,,2,5,,89,100,,2015,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,24,19,3,19,,,1,7,3,5,0,0,0,3,3,3,5,2,3,1091.2339554,0.2688737559
957516,1,1,1,1,1,1954,1,,,4,5,,39,60,,1974,1,2,1,,,,1,7,,,1,,20,2,,,1,10,1,1,100,2,,,2,,,80,50,,,2,1,2,2,2,2,2,,1112,19,,2,2,,66,19,3,19,,,5,4,2,4,1,1,1,1,1,3,5,2,3,692.57882174,0.1706474291
957545,4,1,1,1,1,1964,1,,,1,7,7,100,110,0,2009,2,,1,,,,1,4,,,10,3,18,1,1,,1,32,5,1,100,2,,,1,0,0,67,60,2,,1,2,2,2,2,2,2,,5412,15,30,2,1,,56,19,3,19,,,4,3,1,3,0,1,1,2,2,3,5,2,4,839.07056068,0.2067421491
957545,4,2,2,2,1,1972,1,,,1,5,,10,10,,1990,2,2,2,,,,1,2,,,2,1,18,2,,,1,30,0,1,,2,,,1,0,15,,,2,,1,2,2,2,2,2,2,,4110,15,19,2,2,,48,19,3,19,,,3,2,1,3,1,1,1,2,2,3,5,2,4,839.07056068,0.2067421491
957545,4,3,2,6,1,1997,1,,,2,6,9,110,110,1,2019,3,,2,,,,2,17,,,1,,20,2,,,2,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,23,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,2,4,839.07056068,0.2067421491
957545,4,4,1,6,1,2002,1,,,2,3,,,,,,,,2,,,,2,17,,,1,,18,2,,,2,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,18,19,3,19,,,1,7,3,5,0,0,0,2,2,3,5,2,4,839.07056068,0.2067421491
957548,2,1,1,1,1,1959,1,,,1,7,8,110,110,1,1983,3,,1,,,,1,4,,,1,,26,2,,,1,36,0,1,100,2,,,1,0,0,64,90,1,95,1,2,2,2,2,2,2,,1346,11,,2,2,,61,19,3,19,,,4,3,1,4,1,1,1,2,2,3,5,2,4,341.63866985,0.0841777988
957548,2,2,2,2,1,1962,1,,,1,7,9,110,110,0,1997,3,,2,,,,1,3,,,1,,35,2,,,1,23,0,1,,2,,,1,0,15,,,2,,1,2,2,2,2,2,2,,2330,16,,2,2,,58,19,3,19,,,4,2,1,3,0,1,1,2,2,3,5,2,4,341.63866985,0.0841777988
957552,5,1,1,1,1,1974,1,,,1,7,4,93,110,0,2007,3,,1,,,,1,4,,,3,3,28,2,,,1,15,0,1,100,2,,,1,0,3,67,80,2,,1,2,2,2,2,2,2,,1112,15,41,2,2,,46,19,3,19,,,3,3,1,3,1,1,1,2,2,3,5,2,4,1554.8275768,0.3831005516
957552,5,2,2,2,1,1979,1,,,1,5,,46,60,,1999,2,2,2,,,,1,2,,,1,,21,2,,,1,21,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,4120,22,,2,2,,41,19,3,19,,,2,2,1,4,0,1,1,2,2,3,5,2,4,1554.8275768,0.3831005516
