NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,b22,b23a,b23b,b24,b25a,b25b,b25c,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT2,PESOFIT
957234,3,2,2,2,1,1961,1,,,1,5,,50,60,,1979,5,2,2,,,,1,9,,,1,,26,2,,,1,30,0,1,,2,,,2,,,,,,,2,1,2,2,2,1,2,,3123,6,,2,2,,59,18,3,18,,,4,4,2,4,0,1,1,2,2,3,4,2,4,766.99002116,0.1889819197
957234,3,3,1,6,1,1997,1,,,2,6,6,88,110,0,2020,3,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,23,18,3,18,,,1,7,3,5,0,0,0,2,2,3,4,2,4,766.99002116,0.1889819197
957238,4,1,1,1,1,2003,1,,,2,3,,,,,,,,1,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,17,18,3,18,,,1,7,3,5,0,0,0,2,2,3,4,2,4,636.12144514,0.156736657
957238,4,2,1,4,1,1967,1,,,1,7,8,98,110,0,1991,3,,2,,,,1,5,,,1,,25,2,,,1,25,0,1,,2,,,1,0,2,,,2,,1,2,2,2,2,2,2,,1112,15,,2,2,,53,18,3,18,,,3,3,1,3,1,1,1,2,2,3,4,2,4,636.12144514,0.156736657
957238,4,3,2,4,1,1966,1,,,1,7,10,100,110,0,2015,1,,2,,,,1,3,,,1,,25,1,15,,1,5,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,2330,15,,2,2,,54,18,3,18,,,3,2,1,3,0,1,1,2,2,3,4,2,4,636.12144514,0.156736657
957238,4,4,2,11,1,1996,1,,,2,6,4,100,110,0,2018,3,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,24,12,2,18,,,1,7,3,5,0,0,0,2,2,3,4,2,4,636.12144514,0.156736657
957258,2,1,1,1,1,1938,1,,,1,2,,,,,,,,1,,,,2,15,7,6,1,,18,2,,,1,20,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,82,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,2,4,767.1338185,0.1890173505
957258,2,2,2,2,1,1945,1,,,1,2,,,,,,,,1,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,75,19,3,19,,,5,7,3,5,0,0,0,0,1,3,5,2,4,767.1338185,0.1890173505
957262,2,1,1,1,1,1937,1,,,1,4,,,,,,,,1,,,,2,15,8,3,1,,20,2,,,1,40,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,83,19,3,19,,,5,6,3,5,1,1,0,0,1,3,5,2,4,593.02560706,0.1461180909
957262,2,2,2,2,1,1942,1,,,1,2,,,,,,,,2,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,78,19,3,19,,,5,7,3,5,0,0,0,0,1,3,5,2,4,593.02560706,0.1461180909
